stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched,age_years
Dogs,58,1278,0.57166,0.58635,2-4 y,1.535714286,No,3.4989733059548254
Feist,59,492,0.58887,0.59083,1-1.5 y,1.62,No,1.3470225872689938
Pentatonix,59,492,0.57607,0.69054,1-1.5 y,1.62,No,1.3470225872689938
Plane,59,492,0.55159,0.49687,1-1.5 y,1.62,No,1.3470225872689938
Dogs,59,492,0.52842,0.46948,1-1.5 y,1.62,No,1.3470225872689938
Feist,60,1227,0.60354,0.62985,2-4 y,1.778571429,No,3.359342915811088
Pentatonix,60,1227,0.49193,0.56839,2-4 y,1.778571429,No,3.359342915811088
Science,60,1227,0.66497,0.83951,2-4 y,1.778571429,No,3.359342915811088
Plane,60,1227,0.54009,0.5828,2-4 y,1.778571429,No,3.359342915811088
Dogs,60,1227,0.50728,0.54675,2-4 y,1.778571429,No,3.359342915811088
Feist,61,508,0.60092,0.72765,1-1.5 y,1.378571429,No,1.3908281998631074
Pentatonix,61,508,0.55429,0.56964,1-1.5 y,1.378571429,No,1.3908281998631074
Science,61,508,0.7341,0.71095,1-1.5 y,1.378571429,No,1.3908281998631074
Plane,61,508,0.54118,0.5233,1-1.5 y,1.378571429,No,1.3908281998631074
Dogs,61,508,0.59894,0.605,1-1.5 y,1.378571429,No,1.3908281998631074
Feist,62,2002,0.60356,0.65009,4-6 y,1.442857143,No,5.4811772758384665
Pentatonix,62,2002,0.62849,0.58138,4-6 y,1.442857143,No,5.4811772758384665
Science,62,2002,0.54802,0.50298,4-6 y,1.442857143,No,5.4811772758384665
Plane,62,2002,0.52711,0.56256,4-6 y,1.442857143,No,5.4811772758384665
Dogs,62,2002,0.67388,0.5063,4-6 y,1.442857143,No,5.4811772758384665
Feist,63,2997,0.55955,0.56112,8-10 y,1.5,No,8.205338809034908
Pentatonix,63,2997,0.61586,0.6518,8-10 y,1.5,No,8.205338809034908
Science,63,2997,0.62696,0.57255,8-10 y,1.5,No,8.205338809034908
Plane,63,2997,0.60207,0.56338,8-10 y,1.5,No,8.205338809034908
