stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched,age_years
Pentatonix,92,590,0.62896,0.67979,1.5-2 y,1.628571429,No,1.6153319644079398
Science,92,590,0.62999,0.64383,1.5-2 y,1.628571429,No,1.6153319644079398
Plane,92,590,0.57219,0.62899,1.5-2 y,1.628571429,No,1.6153319644079398
Dogs,92,590,0.56584,0.57412,1.5-2 y,1.628571429,No,1.6153319644079398
Feist,94,656,0.55595,0.49197,1.5-2 y,2.128571429,No,1.7960301163586585
Pentatonix,94,656,0.56994,0.47507,1.5-2 y,2.128571429,No,1.7960301163586585
Science,94,656,0.69747,0.59448,1.5-2 y,2.128571429,No,1.7960301163586585
Plane,94,656,0.55256,0.54009,1.5-2 y,2.128571429,No,1.7960301163586585
Dogs,94,656,0.62269,0.50104,1.5-2 y,2.128571429,No,1.7960301163586585
Feist,95,539,0.56814,0.49651,1-1.5 y,1.707142857,No,1.4757015742642026
Pentatonix,95,539,0.58517,0.60208,1-1.5 y,1.707142857,No,1.4757015742642026
Science,95,539,0.63695,0.56594,1-1.5 y,1.707142857,No,1.4757015742642026
Plane,95,539,0.55507,0.58207,1-1.5 y,1.707142857,No,1.4757015742642026
Dogs,95,539,0.55164,0.6545,1-1.5 y,1.707142857,No,1.4757015742642026
Feist,96,648,0.60439,0.58687,1.5-2 y,1.428571429,No,1.7741273100616017
Pentatonix,96,648,0.57521,0.67685,1.5-2 y,1.428571429,No,1.7741273100616017
Science,96,648,0.65874,0.70431,1.5-2 y,1.428571429,No,1.7741273100616017
Plane,96,648,0.51176,0.46149,1.5-2 y,1.428571429,No,1.7741273100616017
Dogs,96,648,0.51792,0.44414,1.5-2 y,1.428571429,No,1.7741273100616017
Feist,97,569,0.65397,0.61175,1.5-2 y,1.207142857,No,1.5578370978781657
Pentatonix,97,569,0.56288,0.60214,1.5-2 y,1.207142857,No,1.5578370978781657
Science,97,569,0.6885,0.71036,1.5-2 y,1.207142857,No,1.5578370978781657
Plane,97,569,0.61961,0.65875,1.5-2 y,1.207142857,No,1.5578370978781657
Dogs,97,569,0.63445,0.60971,1.5-2 y,1.207142857,No,1.5578370978781657
Feist,98,316,0.56503,0.51993,.5-1 y,2.125,No,0.865160848733744
Pentatonix,98,316,0.56471,0.63397,.5-1 y,2.125,No,0.865160848733744
Plane,98,316,0.61479,0.58632,.5-1 y,2.125,No,0.865160848733744
Dogs,98,316,0.62193,0.65775,.5-1 y,2.125,No,0.865160848733744
Feist,99,343,0.63829,0.55298,.5-1 y,1.725,No,0.9390828199863107
Pentatonix,99,343,0.54444,0.50919,.5-1 y,1.725,No,0.9390828199863107
Science,99,343,0.66533,0.68634,.5-1 y,1.725,No,0.9390828199863107
Plane,99,343,0.57156,0.54082,.5-1 y,1.725,No,0.9390828199863107
Dogs,99,343,0.6015,0.58596,.5-1 y,1.725,No,0.9390828199863107
Feist,101,461,0.56112,0.66976,1-1.5 y,1.342857143,Not Sure,1.2621492128678986
Pentatonix,101,461,0.60295,0.69956,1-1.5 y,1.342857143,Yes,1.2621492128678986
Science,101,461,0.63937,0.69468,1-1.5 y,1.342857143,No,1.2621492128678986
Plane,101,461,0.56875,0.57095,1-1.5 y,1.342857143,No,1.2621492128678986
Dogs,101,461,0.50981,0.55657,1-1.5 y,1.342857143,No,1.2621492128678986
Feist,102,312,0.63338,0.65997,.5-1 y,1.7625,No,0.8542094455852156
Pentatonix,102,312,0.63929,0.62298,.5-1 y,1.7625,No,0.8542094455852156
Plane,102,312,0.52407,0.57857,.5-1 y,1.7625,No,0.8542094455852156
Plane,103,197,0.53156,0.45566,.5-1 y,1.35,No,0.5393566050650239
Plane,105,273,0.47483,0.41201,.5-1 y,1.25,No,0.7474332648870636
Feist,106,465,0.60134,0.71229,1-1.5 y,1.471428571,No,1.273100616016427
Pentatonix,106,465,0.51035,0.57245,1-1.5 y,1.471428571,No,1.273100616016427
Science,106,465,0.65823,0.61203,1-1.5 y,1.471428571,No,1.273100616016427
Plane,106,465,0.57786,0.53563,1-1.5 y,1.471428571,No,1.273100616016427
Dogs,106,465,0.52336,0.4805,1-1.5 y,1.471428571,No,1.273100616016427
Feist,108,194,0.6237,0.58747,.5-1 y,1.85,No,0.5311430527036276
Pentatonix,108,194,0.57016,0.61872,.5-1 y,1.85,No,0.5311430527036276
Science,108,194,0.68565,0.76453,.5-1 y,1.85,No,0.5311430527036276
Plane,108,194,0.55109,0.57446,.5-1 y,1.85,No,0.5311430527036276
Dogs,108,194,0.58014,0.65896,.5-1 y,1.85,No,0.5311430527036276
Feist,109,504,0.58195,0.59962,1-1.5 y,1.357142857,No,1.379876796714579
Pentatonix,109,504,0.56757,0.624,1-1.5 y,1.357142857,No,1.379876796714579
Science,109,504,0.64674,0.63433,1-1.5 y,1.357142857,No,1.379876796714579
Plane,109,504,0.53653,0.57252,1-1.5 y,1.357142857,No,1.379876796714579
Dogs,109,504,0.551,0.53424,1-1.5 y,1.357142857,No,1.379876796714579
Feist,110,331,0.54176,0.55049,.5-1 y,1.728571429,No,0.9062286105407256
Pentatonix,110,331,0.59777,0.69015,.5-1 y,1.728571429,No,0.9062286105407256
Science,110,331,0.65592,0.69622,.5-1 y,1.728571429,No,0.9062286105407256
Plane,110,331,0.56811,0.58553,.5-1 y,1.728571429,No,0.9062286105407256
Dogs,110,331,0.58509,0.58823,.5-1 y,1.728571429,No,0.9062286105407256
Feist,111,435,0.56419,0.72304,1-1.5 y,1.585714286,No,1.1909650924024642
Pentatonix,111,435,0.60407,0.5432,1-1.5 y,1.585714286,No,1.1909650924024642
Science,111,435,0.62221,0.61421,1-1.5 y,1.585714286,No,1.1909650924024642
Plane,111,435,0.5353,0.54806,1-1.5 y,1.585714286,No,1.1909650924024642
Dogs,111,435,0.56198,0.6578,1-1.5 y,1.585714286,No,1.1909650924024642
Feist,112,7046,0.64409,0.83218,adult,1.292857143,No,19.290896646132786
Pentatonix,112,7046,0.54033,0.5454,adult,1.292857143,No,19.290896646132786
Science,112,7046,0.63066,0.65238,adult,1.292857143,No,19.290896646132786
Plane,112,7046,0.58676,0.61316,adult,1.292857143,No,19.290896646132786
Dogs,112,7046,0.46766,0.44176,adult,1.292857143,Yes,19.290896646132786
Feist,113,7172,0.59952,0.71805,adult,1.778571429,No,19.63586584531143
Pentatonix,113,7172,0.60535,0.65259,adult,1.778571429,No,19.63586584531143
Science,113,7172,0.63335,0.63383,adult,1.778571429,No,19.63586584531143
Plane,113,7172,0.66092,0.73531,adult,1.778571429,No,19.63586584531143
Dogs,113,7172,0.68968,0.69054,adult,1.778571429,No,19.63586584531143
Feist,114,8034,0.66396,0.62494,adult,1.678571429,No,21.9958932238193
Pentatonix,114,8034,0.60231,0.67485,adult,1.678571429,No,21.9958932238193
Science,114,8034,0.62348,0.53175,adult,1.678571429,No,21.9958932238193
Plane,114,8034,0.58409,0.64124,adult,1.678571429,No,21.9958932238193
Dogs,114,8034,0.61616,0.53668,adult,1.678571429,No,21.9958932238193
Feist,115,475,0.60825,0.5658,1-1.5 y,1.714285714,No,1.3004791238877482
Pentatonix,115,475,0.52476,0.65687,1-1.5 y,1.714285714,No,1.3004791238877482
Science,115,475,0.70519,0.73441,1-1.5 y,1.714285714,No,1.3004791238877482
Plane,115,475,0.50718,0.51164,1-1.5 y,1.714285714,No,1.3004791238877482
Dogs,115,475,0.61198,0.57109,1-1.5 y,1.714285714,No,1.3004791238877482
Feist,116,1468,0.6158,0.80455,4-6 y,1.585714286,Not Sure,4.0191649555099245
Pentatonix,116,1468,0.54808,0.62403,4-6 y,1.585714286,No,4.0191649555099245
Science,116,1468,0.62584,0.5489,4-6 y,1.585714286,No,4.0191649555099245
Plane,116,1468,0.52123,0.52252,4-6 y,1.585714286,No,4.0191649555099245
Dogs,116,1468,0.63716,0.52072,4-6 y,1.585714286,No,4.0191649555099245
Feist,117,423,0.61777,0.5042,1-1.5 y,1.635714286,No,1.158110882956879
Pentatonix,117,423,0.63519,0.58051,1-1.5 y,1.635714286,No,1.158110882956879
Science,117,423,0.68699,0.65934,1-1.5 y,1.635714286,No,1.158110882956879
Plane,117,423,0.63976,0.61566,1-1.5 y,1.635714286,No,1.158110882956879
Dogs,117,423,0.60574,0.6226,1-1.5 y,1.635714286,No,1.158110882956879
Feist,118,252,0.6417,0.69434,.5-1 y,2.125,No,0.6899383983572895
Pentatonix,118,252,0.61676,0.59143,.5-1 y,2.125,No,0.6899383983572895
Plane,118,252,0.54323,0.45039,.5-1 y,2.125,No,0.6899383983572895
Dogs,118,252,0.57467,0.51725,.5-1 y,2.125,No,0.6899383983572895
Feist,119,321,0.56159,0.76361,.5-1 y,1.557142857,No,0.8788501026694046
Pentatonix,119,321,0.54476,0.58402,.5-1 y,1.557142857,No,0.8788501026694046
Science,119,321,0.63797,0.82398,.5-1 y,1.557142857,No,0.8788501026694046
Plane,119,321,0.6157,0.61436,.5-1 y,1.557142857,No,0.8788501026694046
Dogs,119,321,0.52059,0.53723,.5-1 y,1.557142857,No,0.8788501026694046
Feist,120,295,0.616,0.63604,.5-1 y,2.132142857,No,0.8076659822039699
Pentatonix,120,295,0.59815,0.64066,.5-1 y,2.132142857,No,0.8076659822039699
Science,120,295,0.69795,0.7467,.5-1 y,2.132142857,No,0.8076659822039699
Plane,120,295,0.51216,0.60961,.5-1 y,2.132142857,No,0.8076659822039699
Dogs,120,295,0.60176,0.59602,.5-1 y,2.132142857,No,0.8076659822039699
Feist,121,343,0.64202,0.68052,.5-1 y,1.525,No,0.9390828199863107
Pentatonix,121,343,0.55703,0.66444,.5-1 y,1.525,No,0.9390828199863107
Plane,121,343,0.57378,0.60807,.5-1 y,1.525,No,0.9390828199863107
Dogs,121,343,0.55175,0.66587,.5-1 y,1.525,No,0.9390828199863107
Feist,122,7196,0.5783,0.72092,adult,2.478571429,No,19.701574264202602
Pentatonix,122,7196,0.58286,0.60282,adult,2.478571429,No,19.701574264202602
Science,122,7196,0.58376,0.48154,adult,2.478571429,No,19.701574264202602
Plane,122,7196,0.49488,0.52331,adult,2.478571429,No,19.701574264202602
Dogs,122,7196,0.61507,0.58442,adult,2.478571429,No,19.701574264202602
